,id,title,overview,popularity,release_date,vote_average,vote_count,genre_ids,genres,actors,director,log_popularity,popularity_bin,degree
32,1100782,Smile 2,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",607.657,2024-10-16,6.885,397,"[27, 9648]","['Horror', 'Mystery']","['Naomi Scott', 'Rosemarie DeWitt', 'Lukas Gage', 'Miles Gutierrez-Riley', 'Peter Jacobson']",Parker Finn,6.411254890652035,Top,10
33,1328814,Amityville: Where the Echo Lives,"When paranormal investigator Heather West receives a call from a terrified woman who claims her house is inhabited by a ghost, she discovers the building has a horrifying history. After a presence from beyond our world reaches out to her, Heather begins to feel a pull to the other side of the spirit plane. Can this hunter of specters deliver an innocent soul to a place of peace and discover an eternal truth in time to save her own life?",453.199,2024-10-28,6.313,8,"[27, 9648]","['Horror', 'Mystery']","['Sarah McDonald', 'Breanna Rossi', 'Adela Perez', 'Nicholas J. Barelli', 'Hector De Alva']",Carlos Ayala,6.118535427995763,Top,10
34,1331375,Dominique,"Dominique, a well-trained assassin, flees from her troubled past in an attempt to begin a new life in South America. However, she soon finds herself in a town plagued with violence and corruption. Facing brutal attacks from the police and mafia, Dominique must decide whether to protect herself or an innocent family that has taken her in.",471.803,2024-10-11,7.3,43,"[28, 53]","['Action', 'Thriller']","['Oksana Orlan', 'Sebastián Carvajal', 'María del Rosario', 'Maurice Compte', 'Chase Coleman']",Michael S. Ojeda,6.158678811249423,Top,10
35,592831,Megalopolis,"Genius artist Cesar Catilina seeks to leap the City of New Rome into a utopian, idealistic future, while his opposition, Mayor Franklyn Cicero, remains committed to a regressive status quo, perpetuating greed, special interests, and partisan warfare. Torn between them is socialite Julia Cicero, the mayor’s daughter, whose love for Cesar has divided her loyalties, forcing her to discover what she truly believes humanity deserves.",504.709,2024-09-25,5.6,443,"[18, 878]","['Drama', 'Science Fiction']","['Adam Driver', 'Giancarlo Esposito', 'Nathalie Emmanuel', 'Aubrey Plaza', 'Shia LaBeouf']",Francis Ford Coppola,6.225961405040484,Top,10
36,402431,Wicked,"Elphaba, an ostracized but defiant girl born with green skin, and Galinda, a privileged aristocrat born popular, become extremely unlikely friends in the magical Land of Oz. As the two girls struggle with their opposing personalities, their friendship is tested as both begin to fulfil their destinies as Glinda the Good and The Wicked Witch of the West.",791.164,2024-11-20,7.7,20,"[18, 14, 10749]","['Drama', 'Fantasy', 'Romance']","['Cynthia Erivo', 'Ariana Grande', 'Jonathan Bailey', 'Michelle Yeoh', 'Jeff Goldblum']",Jon M. Chu,6.674768441085317,Top,11
37,917496,Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",418.297,2024-09-04,7.147,1831,"[35, 14, 27]","['Comedy', 'Fantasy', 'Horror']","['Michael Keaton', 'Winona Ryder', ""Catherine O'Hara"", 'Jenna Ortega', 'Justin Theroux']",Tim Burton,6.038579499369343,Top,11
38,978796,Bagman,"For centuries and across cultures, parents have warned their children of the legendary Bagman, who snatches innocent children and stuffs them into his vile, rotting bag—never to be seen again. Patrick McKee narrowly escaped such an encounter as a boy, which left him with lasting scars throughout his adulthood. Now, Patrick’s childhood tormentor has returned, threatening the safety of his wife Karina and son Jake.",366.357,2024-09-20,6.335,79,"[27, 53]","['Horror', 'Thriller']","['Sam Claflin', 'Antonia Thomas', 'Caréll Vincent Rhoden', 'Will Davis', 'Adelle Leonce']",Colm McCarthy,5.906334127281496,Top,10
39,573435,Bad Boys: Ride or Die,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",406.538,2024-06-05,7.495,2348,"[28, 35]","['Action', 'Comedy']","['Will Smith', 'Martin Lawrence', 'Vanessa Hudgens', 'Alexander Ludwig', 'Paola Nuñez']",Adil El Arbi,6.010134179867006,Top,10
40,592831,Megalopolis,"Genius artist Cesar Catilina seeks to leap the City of New Rome into a utopian, idealistic future, while his opposition, Mayor Franklyn Cicero, remains committed to a regressive status quo, perpetuating greed, special interests, and partisan warfare. Torn between them is socialite Julia Cicero, the mayor’s daughter, whose love for Cesar has divided her loyalties, forcing her to discover what she truly believes humanity deserves.",504.709,2024-09-25,5.6,443,"[18, 878]","['Drama', 'Science Fiction']","['Adam Driver', 'Giancarlo Esposito', 'Nathalie Emmanuel', 'Aubrey Plaza', 'Shia LaBeouf']",Francis Ford Coppola,6.225961405040484,Top,10
41,1063877,Don't Move,"A grieving woman in a secluded forest encounters a killer who injects her with a paralytic drug. As her body shuts down, her fight for survival begins.",379.329,2024-10-24,6.4,506,"[53, 27]","['Thriller', 'Horror']","['Kelsey Asbille', 'Finn Wittrock', 'Daniel Francis', 'Moray Treadwell', 'Dylan Beam']",Brian Netto,5.941036667614599,Top,10
42,1144962,Transmorphers: Mech Beasts,"20 years after the events of Transmorphers, a newer, more advanced species of alien robot descends on a rebuilt Earth, threatening once again to destroy the planet.",447.96,2023-06-09,5.5,30,"[28, 878]","['Action', 'Science Fiction']","['Tom Arnold', 'Tania Fox', 'Jolene Anderson', 'Andrew Rogers', 'Mica Javier']",Michael Su,6.106933796914096,Top,10
43,1159311,My Hero Academia: You're Next,"In a society devastated by the effects of an all-out war between heroes and villains, a mysterious giant fortress suddenly appears, engulfing towns and people one after another. Then, a man reminiscent of All Might, the 'symbol of peace', stands in front of Izuku and his friends...",447.016,2024-08-02,6.9,51,"[16, 28, 12, 878]","['Animation', 'Action', 'Adventure', 'Science Fiction']","['Daiki Yamashita', 'Nobuhiko Okamoto', 'Yuki Kaji', 'Mamoru Miyano', 'Meru Nukumi']",Tensai Okamura,6.10482894606296,Top,12
44,420634,Terrifier,A maniacal clown named Art terrorizes three young women on Halloween night and everyone else who stands in his way.,391.645,2018-01-25,6.391,2441,"[27, 53]","['Horror', 'Thriller']","['David Howard Thornton', 'Jenna Kanell', 'Samantha Scaffidi', 'Catherine Corcoran', 'Pooya Mohseni']",Damien Leone,5.9729058957527945,Top,10
45,827931,Time Cut,"A teen in 2024 accidentally time-travels to 2003, days before a masked killer murders her sister. Can she change the past without destroying the future?",340.191,2024-10-29,5.6,305,"[27, 878, 53]","['Horror', 'Science Fiction', 'Thriller']","['Madison Bailey', 'Antonia Gentry', 'Griffin Gluck', 'Megan Best', 'Michael Shanks']",Hannah Macpherson,5.8324424377784245,Top,11
46,823219,Flow,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",334.388,2024-08-29,8.5,248,"[16, 14, 12]","['Animation', 'Fantasy', 'Adventure']",[],Gints Zilbalodis,5.815288070573741,Top,6
47,957452,The Crow,"Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right.",334.248,2024-08-21,5.9,759,"[28, 14, 27]","['Action', 'Fantasy', 'Horror']","['Bill Skarsgård', 'FKA twigs', 'Danny Huston', 'Josette Simon', 'Laura Birn']",Rupert Sanders,5.814870556446752,Top,11
48,269509,The Canterville Ghost,"An American family moves in to the Canterville Chase, a London mansion that has been haunted by ghost Sir Simon De Canterville for 300 years.",426.689,2023-09-22,6.6,21,"[16, 35, 10751, 14]","['Animation', 'Comedy', 'Family', 'Fantasy']","['Stephen Fry', 'Hugh Laurie', 'Freddie Highmore', 'Emily Carey', 'Imelda Staunton']",Kim Burdon,6.058396295940236,Top,12
49,157336,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,433.509,2014-11-05,8.4,35610,"[12, 18, 878]","['Adventure', 'Drama', 'Science Fiction']","['Matthew McConaughey', 'Anne Hathaway', 'Michael Caine', 'Jessica Chastain', 'Casey Affleck']",Christopher Nolan,6.074216657954677,Top,11
50,1014505,OVERLORD: The Sacred Kingdom,"After twelve years of playing his favorite MMORPG game, Momonga logs in for the last time only to find himself transported into its world playing it indefinitely. Throughout his adventures, his avatar ascends to the title of Sorcerer King Ains Ooal Gown. Once prosperous but now on the brink of ruin, The Sacred Kingdom enjoyed years of peace after construction of an enormous wall protecting them from neighboring invasions. But, one day this comes to an end when the Demon Emperor Jaldabaoth arrives with an army of villainous demi-humans. Fearing invasion of their own lands, the neighboring territory of the Slane Theocracy is forced to beg their enemies at the Sorcerer Kingdom for help. Heeding the call, Momonga, now known as the Sorcerer King Ains Ooal Gown, rallies the Sorcerer Kingdom and its undead army to join the fight alongside the Sacred Kingdom and the Slane Theocracy in hopes to defeat the Demon Emperor.",591.51,2024-09-20,7.25,12,"[28, 12, 16, 14]","['Action', 'Adventure', 'Animation', 'Fantasy']","['Satoshi Hino', 'Yumi Hara', 'Masayuki Katou', 'Yoshino Aoyama', 'Hitomi Nabatame']",Naoyuki Ito,6.3843677505039915,Top,12
51,1241982,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",416.938,2024-11-27,0.0,0,"[16, 12, 10751, 35]","['Animation', 'Adventure', 'Family', 'Comedy']","[""Auli'i Cravalho"", 'Dwayne Johnson', 'Alan Tudyk', 'Rachel House', 'Temuera Morrison']",David G. Derrick Jr.,6.035333096164611,Top,12
52,1140648,Double Blind,"After an experimental drug trial goes awry, the test subjects face a terrifying side effect: if you fall asleep you die. Trapped in an isolated facility, panic ensues as they try to escape and somehow stay awake.",416.911,2024-02-09,5.838,77,"[878, 27, 53]","['Science Fiction', 'Horror', 'Thriller']","['Millie Brady', 'Pollyanna McIntosh', 'Akshay Kumar', 'Diarmuid Noyes', ""Brenock O'Connor""]",Ian Hunt Duffy,6.035268491194073,Top,11
53,726139,Project Silence,"Due to sudden deteriorating weather conditions, visibility on the Airport Bridge is severely impaired, leaving people stranded and at risk of the bridge collapsing due to a series of chain collisions and explosions. Amidst the chaos, the canine subjects ""Echo"" from the military experiment ""Project Silence,"" who were being transported in secret, break free, and all human survivors become targets of relentless attacks.",336.919,2024-07-11,7.05,230,"[28, 53, 27, 878]","['Action', 'Thriller', 'Horror', 'Science Fiction']","['Lee Sun-kyun', 'Ju Ji-hoon', 'Kim Hee-won', 'Moon Sung-keun', 'Ye Su-jeong']",Kim Tae-gon,5.82280622179316,Top,12
54,928480,Monster Summer,"When a mysterious force begins to disrupt their big summer fun, Noah and his friends team up with a retired police detective to embark on a monstrous adventure to save their island.",561.274,2024-10-04,6.3,30,"[12, 14, 9648, 27]","['Adventure', 'Fantasy', 'Mystery', 'Horror']","['Mel Gibson', 'Mason Thames', 'Julian Lerner', 'Abigail James Witherspoon', 'Noah Cottrell']",David Henrie,6.331989275566481,Top,12
55,663712,Terrifier 2,"A year after the Miles County massacre, Art the Clown is resurrected by a sinister entity. Art returns home, where he must hunt down and destroy teenage Sienna and her younger brother Jonathan on Halloween. As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",297.486,2022-10-06,6.8,2047,"[27, 53]","['Horror', 'Thriller']","['David Howard Thornton', 'Lauren LaVera', 'Elliott Fullam', 'Sarah Voigt', 'Kailey Hyman']",Damien Leone,5.698723030560233,Top,10
56,947891,My Old Ass,"An 18th birthday mushroom trip brings free-spirited Elliott face-to-face with her wisecracking 39-year-old self. But when Elliott’s ""old ass"" starts handing out warnings about what her younger self should and shouldn't do, Elliott realizes she has to rethink everything about family, love, and what's becoming a transformative summer.",296.805,2024-09-13,6.7,123,"[35, 18, 10749, 878]","['Comedy', 'Drama', 'Romance', 'Science Fiction']","['Maisy Stella', 'Aubrey Plaza', 'Percy Hynes White', 'Maddie Ziegler', 'Kerrice Brooks']",Megan Park,5.696438909900769,Top,12
57,1288998,1978,"During the World Cup final between Argentina and Holland, in times of military dictatorship, a group of torturers kidnap a group of young people. What begins as an inhumane interrogation turns into hell: the wrong group has been kidnapped.",505.238,2024-10-16,5.5,2,"[27, 53, 18]","['Horror', 'Thriller', 'Drama']","['Agustin Olcese', 'Carlos Portaluppi', 'Mario Alarcón', 'Jorge Lorenzo', 'Santiago Rios']",Nicolás Onetti,6.2270069144361075,Top,11
58,1354627,SpongeBob Squarepants: Kreepaway Kamp,"While at Kamp Koral for a reunion, SpongeBob and the gang are stalked by a mysterious figure lurking in the shadows as campers start disappearing one by one!",304.444,2024-10-10,7.132,53,"[10770, 10751, 35, 27, 16]","['TV Movie', 'Family', 'Comedy', 'Horror', 'Animation']","['Tom Kenny', 'Bill Fagerbakke', 'Rodger Bumpass', 'Clancy Brown', 'Carolyn Lawrence']",Ian Vasquez,5.721766455753396,Top,13
