,id,title,overview,popularity,release_date,vote_average,vote_count,genre_ids,genres
1291,177677,Mission: Impossible - Rogue Nation,"Ethan and team take on their most impossible mission yet—eradicating 'The Syndicate', an International and highly-skilled rogue organization committed to destroying the IMF.",74.886,2015-07-23,7.207,8764,"[28, 12]","['Action', 'Adventure']"
1292,795514,The Fallout,"In the wake of a school tragedy, Vada, Mia and Quinton form a unique and dynamic bond as they navigate the never linear, often confusing journey to heal in a world that feels forever changed.",74.822,2021-03-17,7.608,1103,[18],['Drama']
1293,400928,Gifted,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",43.521,2017-04-07,8.0,5465,"[18, 35]","['Drama', 'Comedy']"
1294,1687,Escape from the Planet of the Apes,"The world is shocked by the appearance of three talking chimpanzees, who arrived mysteriously in a spacecraft. Intrigued by their intelligence, humans use them for research - until the apes attempt to escape.",74.809,1971-05-20,6.4,1065,"[28, 878]","['Action', 'Science Fiction']"
1295,225886,Sex Tape,"When Jay and Annie first got together, their romantic connection was intense – but ten years and two kids later, the flame of their love needs a spark.  To kick things up a notch, they decide – why not? – to make a video of themselves trying out every position in The Joy of Sex in one marathon three-hour session.  It seems like a great idea – until they discover that their most private video is no longer private.  With their reputations on the line, they know they’re just one click away from being laid bare to the world... but as their race to reclaim their video leads to a night they'll never forget, they'll find that their video will expose even more than they bargained for.",49.02,2014-07-17,5.402,4020,[35],['Comedy']
1296,637,Life Is Beautiful,A touching story of an Italian book seller of Jewish ancestry who lives in his own little fairy tale. His creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during World War II. While locked up he tries to convince his son that the whole thing is just a game.,44.261,1997-12-20,8.448,13015,"[35, 18]","['Comedy', 'Drama']"
1297,1005331,Carry-On,A young TSA agent fights to outsmart a mysterious traveler who blackmails him into letting a dangerous package slip onto a Christmas Eve flight.,56.629,2024-12-13,0.0,0,"[28, 53, 9648]","['Action', 'Thriller', 'Mystery']"
1298,11357,Halloween 4: The Return of Michael Myers,Michael returns to Haddonfield for Jamie Lloyd – the orphaned daughter of Laurie Strode – and her babysitter Rachel. Can Dr. Loomis stop him before the unholy slaughter reaches his innocent young niece?,74.647,1988-10-21,6.2,1886,"[27, 53]","['Horror', 'Thriller']"
1299,124905,Godzilla,"Ford Brody, a Navy bomb expert, has just reunited with his family in San Francisco when he is forced to go to Japan to help his estranged father, Joe. Soon, both men are swept up in an escalating crisis when an ancient alpha predator arises from the sea to combat malevolent adversaries that threaten the survival of humanity. The creatures leave colossal destruction in their wake, as they make their way toward their final battleground: San Francisco.",43.25,2014-05-14,6.341,9072,"[28, 18, 878]","['Action', 'Drama', 'Science Fiction']"
1300,124905,Godzilla,"Ford Brody, a Navy bomb expert, has just reunited with his family in San Francisco when he is forced to go to Japan to help his estranged father, Joe. Soon, both men are swept up in an escalating crisis when an ancient alpha predator arises from the sea to combat malevolent adversaries that threaten the survival of humanity. The creatures leave colossal destruction in their wake, as they make their way toward their final battleground: San Francisco.",43.25,2014-05-14,6.3,9072,"[28, 18, 878]","['Action', 'Drama', 'Science Fiction']"
1301,22794,Cloudy with a Chance of Meatballs,"Inventor Flint Lockwood creates a machine that makes clouds rain food, enabling the down-and-out citizens of Chewandswallow to feed themselves. But when the falling food reaches gargantuan proportions, Flint must scramble to avert disaster. Can he regain control of the machine and put an end to the wild weather before the town is destroyed?",50.24,2009-09-17,6.6,5916,"[16, 35, 10751]","['Animation', 'Comedy', 'Family']"
